name,author,artwork_url,code,license,like_count,description,top_5_comments
Princess Mochi,astropelican,https://www.lexaloffle.com/bbs/thumbs/pico8_princessmochi_a-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pr/princessmochi_a-0.p8.png],No License,11,"Princess Mochiastropelican•2026-09-08*2026-09-08 02:17*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePrincess MochiCart File|Forum Post|More cartridgesbyastropelicanMore Cartridges[View All]Princess MochibyastropelicanCart#princessmochi_a-0

								|2026-09-08|Code ▽|Embed ▽|No License11Copy and paste the snippet below into your HTML.Princess Mochi has a jetpack, two pigtails that never quite keep up with her, and a whole town's worth of mochi to carry home before dark.UFOs always flank her in single file, then dive straight into her.[8x8]The pigeons mean well. They fan in, arrange themselves into a very tidy little ring, and shoot at her anyway.[8x8]Fishcakes aren't meanies exactly, they're just happily wiggling through their little ribbon dance, unfortunately right in her way.[8x8]The mech means it rather more. And somewhere past the second town something enormous is waiting, though she'd rather not think about that part just yet.[16x16]Mochi is the whole point.[16x16]Pink mochi makes her gun quicker and her reach longer.  These appear whenever she terminates an enemy fool that gets in her way.[16x16]Cream mochi makes her light on her feet. These appear when she obliterates an entire wave of pigeons, UFOs, or fishcakes.[16x16]Matcha mochi, her favorite, buys hearts, and hearts are the one thing nobody can take back off her; clip a tree or a road sign and everything else goes bouncing merrily away down the road behind you. Embarrassing, but survivable.Two towns, two bosses, and one princess with excellent posture and no intention of slowing down.🤍 Special thanks to thepico8 Discord communityfor their help: freds72 who was instrumental in helping me nail the shadow aesthetic, and@wasdlyfor the mode7 terrain rendering, as well as the #project channel on there for feedback and suggestions.Parens-8Built with parens-8, which is AGPLv3.Full source here.download Windows, Mac, Linux, and Raspberry PI builds fromitch.io.cuteon-r",No comments
Lionfish Hunter 2026,shutch42,https://www.lexaloffle.com/bbs/thumbs/pico8_lionfish_hunter_2026-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/li/lionfish_hunter_2026-0.p8.png],CC4-BY-NC-SA,4,"Lionfish Hunter 2026shutch42•2026-09-072026-09-07 22:10•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileLionfish Hunter 2026Cart File|Forum Post|More cartridgesbyshutch42More Cartridges[View All]Lionfish Hunter 2026byshutch42Cart#lionfish_hunter_2026-0

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.This is my first pico-8 game that isn't a tutorial! It's a little janky, but I'm happy with it.Press x to shoot your speargun, and z to dodge-roll. Spear the lionfish to move onto the next room. Certain fish and objects do damage (the ones you would expect- lionfish, jellyfish, sharks, hooks, etc.). There are seven levels, and you have 5 health points. Make it to the end for some cool boss fights.4",No comments
Kairu,sgchild9,https://www.lexaloffle.com/bbs/thumbs/pico8_gifodedize-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/gi/gifodedize-0.p8.png],CC4-BY-NC-SA,2,"Kairusgchild9•2026-09-07*2026-09-07 21:06*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileKairuCart File|Forum Post|More cartridgesbysgchild9More Cartridges[View All]Kairubysgchild9Cart#gifodedize-0

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.KairuA strategic territory game inspired by Kulami, made for PICO-8.Place your marbles to claim territory while restricting where your opponent can play next. The board gradually changes as spaces are occupied, creating a game where a move that looks good now can set up — or ruin — your next several turns.Kairu includes:Single-player mode with an easy/hard AI opponentLocal 2-player modeTerritory-based scoringCondensed rules included in cartridge but full ruleset can be found onlineThis started as an experiment to see if I could build a Kulami-inspired game in PICO-8, and gradually turned into a proper little game of its own.Enjoy!pico-8gamestrategyboard-gamepuzzlekulami2",No comments
Plight of the Angel,AlrtCypress,https://www.lexaloffle.com/bbs/thumbs/pico8_flying_bullethell-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fl/flying_bullethell-5.p8.png],No License,8,"Plight of the AngelAlrtCypress•2026-09-07*2026-09-07 20:41*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePlight of the AngelCart File|Forum Post|More cartridgesbyAlrtCypressMore Cartridges[View All]Plight of the AngelbyAlrtCypressCart#flying_bullethell-5

								|2026-09-10|Code ▽|Embed ▽|No License8Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Survive the boss for as long as you can!Controls:Use LEFT, RIGHT, and UP (or X if you're using a controller) to fly around.Press O to dash.Press DOWN to heal (as long as the cooldown is not active.)Tips:the screen wraps around. Use it to dodge attacks if needed.your hitbox is relatively small. It's never too late to squeeze out to safety!there is no cooldown on the dash ability. Just be careful not to dash right into an attack!This game was inspired by late-game Terraria bosses, including the wing-based movement and the bullet hell gameplay.Let me know what you think!Attack Patterns:Red: A cluster of projectiles spawn offscreen, locking onto you then firing.Yellow: 3 small dots spawn around you and quickly accelerate inward.Purple: 6 dots begin to swirl around you, slowly closing in.Green: Bouncing balls fall from the sky from left to right (or vice versa) and bounce back up======Changelog ======1.01 day-one hotfix for controller support. Press X to fly upward.1.02 fixed a bug where X and UP had different flying physics. Adjusted the music and introduced Autoheal1.03 added cover art, updated description to add attack descriptions1.04 added a new alternate song. The music is picked randomly at game startbullet-hell8",No comments
VPOLY,Bastianno,https://www.lexaloffle.com/bbs/thumbs/pico8_zayehafesi-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/za/zayehafesi-0.p8.png],CC4-BY-NC-SA,4,"VPOLYBastianno•2026-09-072026-09-07 18:04•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileVPOLYCart File|Forum Post|More cartridgesbyBastiannoMore Cartridges[View All]VPOLYbyBastiannoCart#zayehafesi-0

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.Function for whoever wants it.Info inside code.4",No comments
Love Me Not,jack_turps,https://www.lexaloffle.com/bbs/thumbs/pico8_love_me_not-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/lo/love_me_not-5.p8.png],No License,15,"Love Me Notjack_turps•2026-09-07*2026-09-07 14:52*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilelove_me_notCart File|Forum Post|More cartridgesbyjack_turpsMore Cartridges[View All]love_me_notbyjack_turpsCart#love_me_not-5

								|2026-09-09|Code ▽|Embed ▽|No License15Copy and paste the snippet below into your HTML.Controlsleft/right: spin and driftz/x: floatenter: open the pause menu (toggle clock, etc)Land on your stem to bounce. Escape the cave to win.Shout OutsShout out to Pogostuck for it's torturous movement, Abnormal Grass for its attention to surface normals, and Moss Moss for its depiction of a comfy grotto.Tips and TricksLeaderboards are available in theitch build.platformerprecisionpogo15",No comments
OXO,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_oxoalkhan-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ox/oxoalkhan-0.p8.png],CC4-BY-NC-SA,2,"OXOAlkhan•2026-09-072026-09-07 11:25•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileOXOCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]OXObyAlkhanCart#oxoalkhan-0

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.A recreation of OXO (1952) — the earliest known computer game to display visuals on a video monitor.puzzlestrategy2",No comments
snowy mountain animation,semaphore,https://www.lexaloffle.com/bbs/thumbs/pico8_snowy_mountain_anim-3.png,[Cart: https://www.lexaloffle.com/bbs/cposts/sn/snowy_mountain_anim-3.p8.png],CC4-BY-NC-SA,3,"snowy mountain animationsemaphore•2026-09-07*2026-09-07 08:29*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilesnowy_mountain_animCart File|Forum Post|More cartridgesbysemaphoreMore Cartridges[View All]snowy_mountain_animbysemaphoreCart#snowy_mountain_anim-3

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.64x64-mode, sprite sketch with some procedural snowartsketchanimation3",No comments
Don't Study Me!,ymellow,https://www.lexaloffle.com/bbs/thumbs/pico8_dont_study_me-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/do/dont_study_me-0.p8.png],CC4-BY-NC-SA,2,"Don't Study Me!ymellow•2026-09-072026-09-07 01:19•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileDon't Study Me!Cart File|Forum Post|More cartridgesbyymellowMore Cartridges[View All]Don't Study Me!byymellowCart#dont_study_me-0

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.2",No comments
beachbirdpanic,lvl99chicken,https://www.lexaloffle.com/bbs/thumbs/pico8_beachbirdpanic-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/be/beachbirdpanic-0.p8.png],No License,1,"beachbirdpaniclvl99chicken•2026-09-072026-09-07 00:12•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilebeachbirdpanicCart File|Forum Post|More cartridgesbylvl99chickenMore Cartridges[View All]beachbirdpanicbylvl99chickenCart#beachbirdpanic-0

								|2026-09-07|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.1",No comments
Sepsis 1K,Adam Atomic,https://www.lexaloffle.com/bbs/thumbs/pico8_sepsis-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/se/sepsis-0.p8.png],No License,9,"Sepsis 1KAdam Atomic•2026-09-06*2026-09-06 21:54*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileSepsisCart File|Forum Post|More cartridgesbyAdam AtomicMore Cartridges[View All]SepsisbyAdam AtomicCart#sepsis-0

								|2026-09-06|Code ▽|Embed ▽|No License9Copy and paste the snippet below into your HTML.My entry for the 1k jam! Zap stuff, get points, you know the drill. Thanks to my love Bekah for coming up with a great title. Inspired byhttps://www.lexaloffle.com/bbs/?pid=195760#p1023 compressed bytes without the cartridge tags!9",No comments
echoes,unikotoast,https://www.lexaloffle.com/bbs/thumbs/pico8_echoes-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ec/echoes-0.p8.png],CC4-BY-NC-SA,4,"echoesunikotoast•2026-09-062026-09-06 19:58•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileechoesCart File|Forum Post|More cartridgesbyunikotoastMore Cartridges[View All]echoesbyunikotoastCart#echoes-0

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.1024 bytes game for pico-1k jam 2026← ↑ ↓ → - moveZ - startCollect items and avoid your shadowsplay on itch.io4",No comments
Sumer,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_sumeralkhan-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/su/sumeralkhan-1.p8.png],CC4-BY-NC-SA,6,"SumerAlkhan•2026-09-06*2026-09-06 10:49*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileSumerCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]SumerbyAlkhanCart#sumeralkhan-1

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA6Copy and paste the snippet below into your HTML.I made a PICO-8 adaptation of ""The Sumerian Game (1964)"" — one of the earliest computer strategy games, designed by Mabel Addis.retrostrategysimulationresource-managementhistoricalremakeadaptation6",No comments
space shooter,Tserre,https://www.lexaloffle.com/bbs/thumbs/pico8_tserrespaceshooter-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ts/tserrespaceshooter-1.p8.png],CC4-BY-NC-SA,1,"space shooterTserre•2026-09-062026-09-06 09:22•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfiletserrespaceshooterCart File|Forum Post|More cartridgesbyTserreMore Cartridges[View All]tserrespaceshooterbyTserreCart#tserrespaceshooter-1

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.""press ❎ to start""""❎ to shoot""""⬅️⬆️➡️⬇️ to move""shooter1",No comments
Marienbad,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_marienbadalkhan-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ma/marienbadalkhan-0.p8.png],CC4-BY-NC-SA,3,"MarienbadAlkhan•2026-09-062026-09-06 07:23•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileMarienbadCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]MarienbadbyAlkhanCart#marienbadalkhan-0

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.A recreation of Marienbad — an early Polish computer game from 1962, based on a variant of Nim.nimpuzzleboard-gameretroclassic3",No comments
Violet Tactics (Deltarune Chapter 5 Cover),squishyam,https://www.lexaloffle.com/bbs/thumbs/pico8_vt_squishyam-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/vt/vt_squishyam-0.p8.png],No License,9,"Violet Tactics (Deltarune Chapter 5 Cover)squishyam•2026-09-06*2026-09-06 05:57*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileViolet Tactics (Deltarune Chapter 5 Cover)Cart File|Forum Post|More cartridgesbysquishyamMore Cartridges[View All]Violet Tactics (Deltarune Chapter 5 Cover)bysquishyamCart#vt_squishyam-0

								|2026-09-06|Code ▽|Embed ▽|No License9Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Did not expect to spend so long on this.Waveform visualizer by Colin The Newmaker:https://www.lexaloffle.com/bbs/?tid=149602Original track by Toby Fox all rights reserved uhhhhhhhhhhhh yeahmusicdeltarunecover9",No comments
Minesweeper SPECIAL,Benefitssketch,https://www.lexaloffle.com/bbs/thumbs/pico8_minesweeperspecial-4.png,[Cart: https://www.lexaloffle.com/bbs/cposts/mi/minesweeperspecial-4.p8.png],No License,3,"Minesweeper SPECIALBenefitssketch•2026-09-06*2026-09-06 14:27*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profileminesweeper-specialCart File|Forum Post|More cartridgesbyBenefitssketchMore Cartridges[View All]minesweeper-specialbyBenefitssketchCart#minesweeperspecial-4

								|2026-09-06|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.This is my first foray into development using Pico-8, I enjoyed it a lot!I tried to give the game a couple Easter eggs and oddities, to give it a slightly different flavour from other minesweeper clones.Controls:Arrow Keys - movementC - Reveal a square // ConfirmX - Toggle flagThe mouse controls are as you'd expect.(Player 2's controls are Pico-8's defaults)For the Name menu, you can change letters using the Up and Down keys, and move between character positions using Right and Left.Features:Click on Yeller (the smiley face) in the upper right of the board, he'll give you a hint thatmightbe useful.Full mouse support (besides the versus mode and name selection screen),persistent hi-scores and user-selected names.(I'll leave the Easter eggs a mystery)If you find any notable bugs, please let me know! I very likely missedmany.minesweeperpuzzle3",No comments
dodge1k,davemakes,https://www.lexaloffle.com/bbs/thumbs/pico8_dodge1k-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/do/dodge1k-0.p8.png],No License,5,"dodge1kdavemakes•2026-09-05*2026-09-05 22:35*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profiledodge1kCart File|Forum Post|More cartridgesbydavemakesMore Cartridges[View All]dodge1kbydavemakesCart#dodge1k-0

								|2026-09-05|Code ▽|Embed ▽|No License5Copy and paste the snippet below into your HTML.Made this in 999 compressed bytes forPICO-1K Jam 2026.Arrow keys move, X and O slow time. Get close to red circles to mine points, but don't get hit!pico1kjam5",No comments
1997 Snake,LevyGames,https://www.lexaloffle.com/bbs/thumbs/pico8_wogedogube-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/wo/wogedogube-2.p8.png],CC4-BY-NC-SA,6,"1997 SnakeLevyGames•2026-09-052026-09-05 22:19•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileA recreation of the original 1997 Snake cell phone game. I tried to get as close to the original as I could, right down to the menus. The only addition is adjustable speed settings. For the most authentic experience, Speed 1 closely matches the pace of the original game.I hope you enjoy!1997 Snake 1.1Cart File|Forum Post|More cartridgesbyLevyGamesMore Cartridges[View All]1997 Snake 1.1byLevyGamesCart#wogedogube-2

								|2026-09-05|Code ▽|Embed ▽|License:CC4-BY-NC-SA6Copy and paste the snippet below into your HTML.199797snakearcade6",No comments
Pool 1954,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_poolalkhan-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/po/poolalkhan-1.p8.png],CC4-BY-NC-SA,2,"Pool 1954Alkhan•2026-09-05*2026-09-05 16:42*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePool 1954Cart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]Pool 1954byAlkhanCart#poolalkhan-1

								|2026-09-05|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.A recreation of the 1954 Pool game — one of the earliest known video game adaptations of billiards.sportspoolarcadeclassicretro2",No comments
